Date,Open,High,Low,Close,Volume,Market Cap
08-Feb-17,0.00 ,0.00168 ,0.00150 ,0.00156 ,17226.00 ,321959.00 
09-Feb-17,0.00 ,0.00163 ,0.00136 ,0.00143 ,5530.00 ,323903.00 
10-Feb-17,0.00 ,0.00144 ,0.00134 ,0.00140 ,1340.00 ,297348.00 
11-Feb-17,0.00 ,0.00144 ,0.00133 ,0.00137 ,1980.00 ,290380.00 
12-Feb-17,0.00 ,0.00145 ,0.00133 ,0.00144 ,2037.00 ,283121.00 
13-Feb-17,0.00 ,0.00145 ,0.00134 ,0.00140 ,1257.00 ,297875.00 
14-Feb-17,0.00 ,0.00142 ,0.00131 ,0.00138 ,2583.00 ,289677.00 
15-Feb-17,0.00 ,0.00139 ,0.00134 ,0.00135 ,1113.00 ,286139.00 
16-Feb-17,0.00 ,0.00156 ,0.00134 ,0.00146 ,4723.00 ,280415.00 
17-Feb-17,0.00 ,0.00188 ,0.00143 ,0.00164 ,83021.00 ,302520.00 
18-Feb-17,0.00 ,0.00170 ,0.00142 ,0.00150 ,29267.00 ,341862.00 
19-Feb-17,0.00 ,0.00155 ,0.00147 ,0.00153 ,3771.00 ,310705.00 
20-Feb-17,0.00 ,0.00161 ,0.00146 ,0.00155 ,4322.00 ,317681.00 
21-Feb-17,0.00 ,0.00156 ,0.00142 ,0.00153 ,4571.00 ,320595.00 
22-Feb-17,0.00 ,0.00156 ,0.00140 ,0.00146 ,2267.00 ,323826.00 
23-Feb-17,0.00 ,0.00161 ,0.00144 ,0.00156 ,1452.00 ,303848.00 
24-Feb-17,0.00 ,0.00164 ,0.00124 ,0.00129 ,10755.00 ,321680.00 
25-Feb-17,0.00 ,0.00140 ,0.00126 ,0.00137 ,4839.00 ,267947.00 
26-Feb-17,0.00 ,0.00156 ,0.00136 ,0.00153 ,4950.00 ,284936.00 
27-Feb-17,0.00 ,0.00159 ,0.00150 ,0.00156 ,2411.00 ,316946.00 
28-Feb-17,0.00 ,0.00167 ,0.00128 ,0.00132 ,26432.00 ,323227.00 
01-Mar-17,0.00 ,0.00142 ,0.00130 ,0.00138 ,7992.00 ,274422.00 
02-Mar-17,0.00 ,0.00140 ,0.00123 ,0.00130 ,7852.00 ,289409.00 
03-Mar-17,0.00 ,0.00134 ,0.00119 ,0.00125 ,4709.00 ,272590.00 
04-Mar-17,0.00 ,0.00129 ,0.00119 ,0.00127 ,2865.00 ,259472.00 
05-Mar-17,0.00 ,0.00127 ,0.00117 ,0.00122 ,2387.00 ,263056.00 
06-Mar-17,0.00 ,0.00125 ,0.00117 ,0.00123 ,1562.00 ,250131.00 
07-Mar-17,0.00 ,0.00147 ,0.00117 ,0.00137 ,47730.00 ,257117.00 
08-Mar-17,0.00 ,0.00151 ,0.00127 ,0.00135 ,9047.00 ,285426.00 
09-Mar-17,0.00 ,0.00160 ,0.00128 ,0.00152 ,18672.00 ,284953.00 
10-Mar-17,0.00 ,0.00161 ,0.00124 ,0.00133 ,7576.00 ,316932.00 
11-Mar-17,0.00 ,0.00150 ,0.00131 ,0.00144 ,2080.00 ,274454.00 
12-Mar-17,0.00 ,0.00160 ,0.00141 ,0.00143 ,7974.00 ,299011.00 
13-Mar-17,0.00 ,0.00159 ,0.00139 ,0.00153 ,6422.00 ,297640.00 
14-Mar-17,0.00 ,0.00159 ,0.00151 ,0.00154 ,1483.00 ,318238.00 
15-Mar-17,0.00 ,0.00166 ,0.00147 ,0.00165 ,3129.00 ,320386.00 
16-Mar-17,0.00 ,0.00176 ,0.00157 ,0.00159 ,16135.00 ,351159.00 
17-Mar-17,0.00 ,0.00170 ,0.00148 ,0.00148 ,8497.00 ,331702.00 
18-Mar-17,0.00 ,0.00179 ,0.00132 ,0.00157 ,35857.00 ,311604.00 
19-Mar-17,0.00 ,0.00168 ,0.00146 ,0.00157 ,7443.00 ,328612.00 
20-Mar-17,0.00 ,0.00175 ,0.00153 ,0.00167 ,7055.00 ,326133.00 
21-Mar-17,0.00 ,0.00372 ,0.00163 ,0.00300 ,464508.00 ,349672.00 
22-Mar-17,0.00 ,0.00367 ,0.00264 ,0.00296 ,214841.00 ,606057.00 
23-Mar-17,0.00 ,0.00299 ,0.00237 ,0.00250 ,66746.00 ,619147.00 
24-Mar-17,0.00 ,0.00253 ,0.00221 ,0.00221 ,19028.00 ,525051.00 
25-Mar-17,0.00 ,0.00225 ,0.00205 ,0.00212 ,16069.00 ,460803.00 
26-Mar-17,0.00 ,0.00228 ,0.00196 ,0.00213 ,15443.00 ,441722.00 
27-Mar-17,0.00 ,0.00276 ,0.00211 ,0.00263 ,48386.00 ,446549.00 
28-Mar-17,0.00 ,0.00370 ,0.00241 ,0.00325 ,87037.00 ,540785.00 
29-Mar-17,0.00 ,0.01327 ,0.00313 ,0.00374 ,691894.00 ,679002.00 
30-Mar-17,0.00 ,0.00385 ,0.00293 ,0.00345 ,105524.00 ,797153.00 
31-Mar-17,0.00 ,0.00434 ,0.00330 ,0.00371 ,93498.00 ,705554.00 
01-Apr-17,0.00 ,0.00427 ,0.00351 ,0.00387 ,66287.00 ,772714.00 
02-Apr-17,0.00 ,0.00418 ,0.00364 ,0.00396 ,28490.00 ,808381.00 
03-Apr-17,0.00 ,0.00430 ,0.00388 ,0.00415 ,26604.00 ,835178.00 
04-Apr-17,0.00 ,0.00498 ,0.00393 ,0.00414 ,71084.00 ,861883.00 
05-Apr-17,0.00 ,0.00496 ,0.00406 ,0.00474 ,100871.00 ,865959.00 
06-Apr-17,0.00 ,0.00535 ,0.00440 ,0.00498 ,110437.00 ,989842.00 
07-Apr-17,0.00 ,0.00646 ,0.00465 ,0.00584 ,349732.00 ,1036580.00 
08-Apr-17,0.01 ,0.00680 ,0.00528 ,0.00594 ,156112.00 ,1193890.00 
09-Apr-17,0.01 ,0.00603 ,0.00538 ,0.00550 ,69458.00 ,1235100.00 
10-Apr-17,0.01 ,0.00597 ,0.00539 ,0.00561 ,32502.00 ,1154240.00 
11-Apr-17,0.01 ,0.00648 ,0.00554 ,0.00608 ,67417.00 ,1174580.00 
12-Apr-17,0.01 ,0.00698 ,0.00591 ,0.00677 ,76857.00 ,1264450.00 
13-Apr-17,0.01 ,0.00729 ,0.00671 ,0.00679 ,147964.00 ,1411990.00 
14-Apr-17,0.01 ,0.01105 ,0.00674 ,0.01010 ,861098.00 ,1423900.00 
15-Apr-17,0.01 ,0.01499 ,0.00945 ,0.01241 ,1552600.00 ,2092790.00 
16-Apr-17,0.01 ,0.01574 ,0.01097 ,0.01256 ,1019010.00 ,2586820.00 
17-Apr-17,0.01 ,0.01391 ,0.01029 ,0.01038 ,303473.00 ,2636260.00 
18-Apr-17,0.01 ,0.01190 ,0.00975 ,0.01150 ,239459.00 ,2194960.00 
19-Apr-17,0.01 ,0.01189 ,0.00956 ,0.01095 ,264877.00 ,2456720.00 
20-Apr-17,0.01 ,0.01289 ,0.01070 ,0.01130 ,227927.00 ,2324070.00 
21-Apr-17,0.01 ,0.01194 ,0.01041 ,0.01078 ,77489.00 ,2370080.00 
22-Apr-17,0.01 ,0.01099 ,0.00991 ,0.00991 ,70570.00 ,2262050.00 
23-Apr-17,0.01 ,0.01043 ,0.00958 ,0.00985 ,67942.00 ,2113980.00 
24-Apr-17,0.01 ,0.01039 ,0.00954 ,0.01034 ,64338.00 ,2069060.00 
25-Apr-17,0.01 ,0.01051 ,0.01001 ,0.01008 ,42887.00 ,2168690.00 
26-Apr-17,0.01 ,0.01033 ,0.00942 ,0.00953 ,119801.00 ,2125150.00 
27-Apr-17,0.01 ,0.01051 ,0.00823 ,0.00918 ,163573.00 ,1993610.00 
28-Apr-17,0.01 ,0.00984 ,0.00880 ,0.00978 ,93852.00 ,1925980.00 
29-Apr-17,0.01 ,0.01016 ,0.00936 ,0.00982 ,54178.00 ,2034570.00 
30-Apr-17,0.01 ,0.01278 ,0.00973 ,0.01143 ,279332.00 ,2061450.00 
01-May-17,0.01 ,0.01279 ,0.01072 ,0.01149 ,259286.00 ,2427600.00 
02-May-17,0.01 ,0.01201 ,0.01054 ,0.01119 ,73638.00 ,2413910.00 
03-May-17,0.01 ,0.01167 ,0.01067 ,0.01113 ,58096.00 ,2353700.00 
04-May-17,0.01 ,0.01254 ,0.01107 ,0.01166 ,66362.00 ,2394630.00 
05-May-17,0.01 ,0.01266 ,0.01160 ,0.01244 ,149145.00 ,2467970.00 
06-May-17,0.01 ,0.01407 ,0.01167 ,0.01406 ,152119.00 ,2611490.00 
07-May-17,0.01 ,0.01750 ,0.01240 ,0.01324 ,540222.00 ,2957940.00 
08-May-17,0.01 ,0.01524 ,0.01285 ,0.01488 ,335779.00 ,2759340.00 
09-May-17,0.01 ,0.01489 ,0.01163 ,0.01163 ,135991.00 ,3124690.00 
10-May-17,0.01 ,0.01528 ,0.01166 ,0.01454 ,158543.00 ,2499760.00 
11-May-17,0.01 ,0.01557 ,0.01298 ,0.01356 ,163391.00 ,3024240.00 
12-May-17,0.01 ,0.01516 ,0.01326 ,0.01326 ,126206.00 ,2813890.00 
13-May-17,0.01 ,0.01492 ,0.01257 ,0.01402 ,110294.00 ,2746410.00 
14-May-17,0.01 ,0.01742 ,0.01385 ,0.01500 ,310958.00 ,2961520.00 
15-May-17,0.01 ,0.02105 ,0.01428 ,0.01688 ,1173520.00 ,3153400.00 
16-May-17,0.02 ,0.01864 ,0.01509 ,0.01516 ,315783.00 ,3571690.00 
17-May-17,0.01 ,0.01842 ,0.01471 ,0.01750 ,221396.00 ,3158940.00 
18-May-17,0.02 ,0.02012 ,0.01648 ,0.01914 ,262570.00 ,3684140.00 
19-May-17,0.02 ,0.04292 ,0.01871 ,0.03086 ,6482090.00 ,3940500.00 
20-May-17,0.03 ,0.04252 ,0.03057 ,0.03500 ,2974530.00 ,6568740.00 
21-May-17,0.03 ,0.03865 ,0.03408 ,0.03518 ,1059450.00 ,7332870.00 
22-May-17,0.04 ,0.03725 ,0.02987 ,0.03495 ,566623.00 ,7424090.00 
23-May-17,0.03 ,0.04038 ,0.03307 ,0.03692 ,354239.00 ,7344380.00 
24-May-17,0.04 ,0.04242 ,0.03551 ,0.03965 ,412001.00 ,7941270.00 
25-May-17,0.04 ,0.04107 ,0.03185 ,0.03263 ,317707.00 ,8375500.00 
26-May-17,0.03 ,0.03887 ,0.02903 ,0.03041 ,263834.00 ,6711220.00 
27-May-17,0.03 ,0.03196 ,0.02103 ,0.02621 ,154602.00 ,6434000.00 
28-May-17,0.03 ,0.03318 ,0.02539 ,0.02719 ,231742.00 ,5549800.00 
29-May-17,0.03 ,0.03157 ,0.02627 ,0.02968 ,160772.00 ,5719770.00 
30-May-17,0.03 ,0.03509 ,0.02822 ,0.02845 ,374447.00 ,6262970.00 
31-May-17,0.03 ,0.03063 ,0.02665 ,0.02950 ,208481.00 ,6024270.00 
01-Jun-17,0.03 ,0.03251 ,0.02985 ,0.03130 ,128322.00 ,6291600.00 
02-Jun-17,0.03 ,0.03685 ,0.03089 ,0.03562 ,414159.00 ,6664420.00 
03-Jun-17,0.04 ,0.04562 ,0.03466 ,0.04046 ,811552.00 ,7525470.00 
04-Jun-17,0.04 ,0.04386 ,0.03974 ,0.04153 ,298656.00 ,8715620.00 
05-Jun-17,0.04 ,0.04584 ,0.04036 ,0.04584 ,373771.00 ,8686220.00 
06-Jun-17,0.05 ,0.05788 ,0.04136 ,0.05332 ,1231250.00 ,9749110.00 
07-Jun-17,0.05 ,0.05928 ,0.04817 ,0.04817 ,703430.00 ,11258900.00 
08-Jun-17,0.05 ,0.05399 ,0.04717 ,0.05279 ,296736.00 ,10238300.00 
09-Jun-17,0.05 ,0.06170 ,0.05250 ,0.06157 ,585936.00 ,11143300.00 
