Date,Open,High,Low,Close,Volume,Market Cap
08-Feb-17,11.54 ,11.63 ,11.24 ,11.43 ,9688630 ,1023170000 
09-Feb-17,11.44 ,11.60 ,10.67 ,11.03 ,18400300 ,1014280000 
10-Feb-17,11.05 ,11.34 ,10.78 ,11.28 ,11914200 ,979961000 
11-Feb-17,11.29 ,11.43 ,11.24 ,11.35 ,7544520 ,1002130000 
12-Feb-17,11.35 ,11.40 ,11.30 ,11.40 ,6264900 ,1008030000 
13-Feb-17,11.38 ,11.39 ,11.17 ,11.27 ,7216520 ,1011080000 
14-Feb-17,11.29 ,13.33 ,11.29 ,13.03 ,42911500 ,1002810000 
15-Feb-17,13.04 ,13.04 ,12.64 ,12.92 ,18464700 ,1159000000 
16-Feb-17,12.92 ,12.92 ,12.54 ,12.90 ,38002600 ,1148860000 
17-Feb-17,12.90 ,12.91 ,12.66 ,12.68 ,11636500 ,1147260000 
18-Feb-17,12.71 ,12.83 ,12.68 ,12.81 ,9370010 ,1130750000 
19-Feb-17,12.82 ,12.87 ,12.71 ,12.76 ,7799740 ,1140870000 
20-Feb-17,12.77 ,12.90 ,12.43 ,12.43 ,12994400 ,1136610000 
21-Feb-17,12.34 ,12.77 ,12.21 ,12.67 ,15183300 ,1099330000 
22-Feb-17,12.69 ,12.76 ,12.55 ,12.60 ,10360900 ,1130460000 
23-Feb-17,12.60 ,13.21 ,12.56 ,13.12 ,14522300 ,1122910000 
24-Feb-17,13.13 ,13.23 ,12.88 ,13.07 ,19574400 ,1171110000 
25-Feb-17,13.06 ,13.72 ,12.98 ,13.55 ,18533900 ,1165230000 
26-Feb-17,13.52 ,14.54 ,13.40 ,14.52 ,20307500 ,1206150000 
27-Feb-17,14.51 ,15.68 ,14.27 ,15.40 ,31667000 ,1294770000 
28-Feb-17,15.45 ,16.06 ,15.12 ,15.82 ,65478900 ,1379600000 
01-Mar-17,15.85 ,17.37 ,15.56 ,17.35 ,44927500 ,1415510000 
02-Mar-17,17.36 ,19.35 ,16.95 ,19.03 ,83627100 ,1550750000 
03-Mar-17,19.04 ,20.67 ,18.41 ,19.46 ,95863400 ,1702140000 
04-Mar-17,19.52 ,20.06 ,18.62 ,18.62 ,27341900 ,1745140000 
05-Mar-17,18.50 ,19.42 ,18.23 ,19.30 ,26816300 ,1655030000 
06-Mar-17,19.28 ,20.10 ,19.11 ,19.61 ,32432700 ,1725360000 
07-Mar-17,19.58 ,19.63 ,18.64 ,18.89 ,37972200 ,1752530000 
08-Mar-17,18.88 ,18.88 ,16.65 ,16.65 ,44304600 ,1690760000 
09-Mar-17,16.64 ,17.87 ,16.37 ,17.75 ,31418400 ,1490500000 
10-Mar-17,17.74 ,19.66 ,17.68 ,19.33 ,87506800 ,1589640000 
11-Mar-17,19.37 ,21.59 ,19.01 ,21.47 ,69150100 ,1736630000 
12-Mar-17,21.46 ,23.44 ,21.38 ,23.44 ,74628900 ,1924660000 
13-Mar-17,23.50 ,30.60 ,23.50 ,28.59 ,255488000 ,2108300000 
14-Mar-17,28.57 ,29.93 ,27.32 ,28.65 ,101797000 ,2563700000 
15-Mar-17,28.65 ,35.06 ,28.43 ,35.06 ,170344000 ,2571160000 
16-Mar-17,35.36 ,47.17 ,35.36 ,46.35 ,454418000 ,3174750000 
17-Mar-17,45.93 ,55.11 ,38.21 ,46.83 ,497534000 ,4125480000 
18-Mar-17,46.87 ,46.87 ,31.70 ,34.16 ,262180000 ,4211830000 
19-Mar-17,35.53 ,47.00 ,35.34 ,44.74 ,239430000 ,3193600000 
20-Mar-17,44.83 ,46.23 ,42.44 ,43.39 ,154701000 ,4031270000 
21-Mar-17,43.51 ,44.26 ,42.37 ,43.15 ,91265400 ,3913620000 
22-Mar-17,43.12 ,43.52 ,39.69 ,42.34 ,113952000 ,3880120000 
23-Mar-17,42.57 ,44.75 ,41.30 ,43.68 ,100724000 ,3831310000 
24-Mar-17,43.64 ,54.14 ,43.21 ,53.11 ,297046000 ,3929230000 
25-Mar-17,53.58 ,53.58 ,48.31 ,51.25 ,223059000 ,4825700000 
26-Mar-17,50.77 ,51.80 ,49.28 ,50.52 ,106859000 ,4574540000 
27-Mar-17,51.31 ,52.46 ,48.93 ,49.67 ,118978000 ,4624990000 
28-Mar-17,49.71 ,50.96 ,49.15 ,50.77 ,97745300 ,4482160000 
29-Mar-17,50.57 ,53.87 ,50.55 ,53.13 ,144998000 ,4561150000 
30-Mar-17,53.12 ,53.31 ,51.87 ,52.21 ,86885700 ,4793280000 
31-Mar-17,51.75 ,51.77 ,47.38 ,50.04 ,151416000 ,4671190000 
01-Apr-17,50.03 ,51.93 ,48.88 ,50.70 ,92461900 ,4517510000 
02-Apr-17,50.74 ,51.27 ,45.43 ,48.75 ,134604000 ,4582700000 
03-Apr-17,48.82 ,48.82 ,43.41 ,44.36 ,190513000 ,4411030000 
04-Apr-17,43.92 ,45.74 ,41.72 ,44.64 ,157568000 ,3969730000 
05-Apr-17,44.66 ,47.84 ,44.54 ,45.30 ,119733000 ,4037940000 
06-Apr-17,45.22 ,45.64 ,40.90 ,43.24 ,147120000 ,4089930000 
07-Apr-17,42.87 ,44.04 ,41.65 ,42.16 ,81474700 ,3878210000 
08-Apr-17,41.80 ,45.21 ,41.73 ,44.31 ,74138800 ,3783000000 
09-Apr-17,44.28 ,44.49 ,42.89 ,43.27 ,55143000 ,4009010000 
