Date,Open,High,Low,Close,Volume,Market Cap
08-Feb-17,0.133244,0.134031,0.121542,0.129568,8268 ,6662200 
09-Feb-17,0.129684,0.132791,0.118249,0.127476,10870 ,6484200 
10-Feb-17,0.12754,0.13171,0.117976,0.125761,2605 ,6377000 
11-Feb-17,0.125788,0.127159,0.122483,0.125607,743 ,6289400 
12-Feb-17,0.125493,0.137479,0.117401,0.121566,3330 ,6274650 
13-Feb-17,0.12153,0.13772,0.118105,0.118286,6977 ,6076500 
14-Feb-17,0.118339,0.121985,0.114384,0.116603,6788 ,5916950 
15-Feb-17,0.116744,0.120698,0.111437,0.112729,5690 ,5837200 
16-Feb-17,0.112739,0.126088,0.112574,0.126088,10795 ,5636950 
17-Feb-17,0.125972,0.130485,0.115022,0.122661,28259 ,6298600 
18-Feb-17,0.122901,0.130873,0.119005,0.124431,13458 ,6145050 
19-Feb-17,0.124522,0.124827,0.117671,0.122905,4321 ,6226100 
20-Feb-17,0.123001,0.127204,0.116679,0.121475,10971 ,6150050 
21-Feb-17,0.1214,0.127322,0.114101,0.121561,14370 ,6070000 
22-Feb-17,0.124515,0.124515,0.115683,0.121959,6903 ,6225750 
23-Feb-17,0.121958,0.122226,0.114699,0.118724,6304 ,6097900 
24-Feb-17,0.119243,0.136124,0.086475,0.121185,17386 ,5962150 
25-Feb-17,0.120864,0.12166,0.110955,0.114526,9339 ,6043200 
26-Feb-17,0.114553,0.115582,0.104331,0.114986,8433 ,5727650 
27-Feb-17,0.115234,0.118632,0.10963,0.115376,8960 ,5761700 
28-Feb-17,0.115442,0.118271,0.113307,0.117443,19659 ,5772100 
01-Mar-17,0.117455,0.135197,0.113717,0.135197,12914 ,5872750 
02-Mar-17,0.135408,0.135475,0.115596,0.119301,8963 ,6770400 
03-Mar-17,0.119272,0.124929,0.118119,0.122444,9499 ,5963600 
04-Mar-17,0.122602,0.125583,0.117666,0.119901,6235 ,6130100 
05-Mar-17,0.119821,0.12368,0.116513,0.121757,4192 ,5991050 
06-Mar-17,0.121782,0.124417,0.118414,0.12345,10659 ,6089100 
07-Mar-17,0.123459,0.123531,0.116952,0.122573,8291 ,6172950 
08-Mar-17,0.122602,0.128715,0.116242,0.116242,5536 ,6130100 
09-Mar-17,0.116266,0.140766,0.114151,0.132026,21035 ,5813300 
10-Mar-17,0.132107,0.141972,0.120088,0.131476,34319 ,6605350 
11-Mar-17,0.131403,0.142793,0.129965,0.142142,32281 ,6570150 
12-Mar-17,0.142217,0.14357,0.131473,0.140575,36588 ,7110850 
13-Mar-17,0.140799,0.140823,0.127288,0.136979,23196 ,7039950 
14-Mar-17,0.136986,0.137204,0.127028,0.133681,23746 ,6849300 
15-Mar-17,0.133699,0.140774,0.128158,0.128653,16169 ,6684950 
16-Mar-17,0.128773,0.136685,0.125514,0.131867,20678 ,6438650 
17-Mar-17,0.131324,0.166127,0.122856,0.139902,63413 ,6566200 
18-Mar-17,0.140006,0.172281,0.140006,0.158987,188985 ,7000300 
19-Mar-17,0.159019,0.163016,0.149322,0.15756,68673 ,7950950 
20-Mar-17,0.157444,0.162542,0.149597,0.153898,68539 ,7872200 
21-Mar-17,0.153972,0.167727,0.150715,0.164934,234287 ,7698600 
22-Mar-17,0.164951,0.179551,0.159475,0.173143,157814 ,8247550 
23-Mar-17,0.173183,0.176421,0.156976,0.166412,38169 ,8659150 
24-Mar-17,0.166412,0.178022,0.159289,0.166465,52184 ,8320600 
25-Mar-17,0.166941,0.167388,0.157475,0.167305,47641 ,8347050 
26-Mar-17,0.167267,0.175043,0.158772,0.160384,37656 ,8363350 
27-Mar-17,0.161165,0.191642,0.160717,0.186426,201563 ,8058250 
28-Mar-17,0.186277,0.235749,0.180596,0.220632,821674 ,9313850 
29-Mar-17,0.22065,0.225506,0.205719,0.212428,335567 ,11032500 
30-Mar-17,0.212468,0.22193,0.206085,0.210556,504940 ,10623400 
31-Mar-17,0.210236,0.213953,0.196505,0.203541,291529 ,10511800 
01-Apr-17,0.203606,0.206153,0.19444,0.205017,109993 ,10180300 
02-Apr-17,0.203584,0.206776,0.200261,0.20548,102369 ,10179200 
03-Apr-17,0.205808,0.205959,0.196132,0.199703,104805 ,10290400 
04-Apr-17,0.199874,0.202591,0.181038,0.185002,148096 ,9993700 
05-Apr-17,0.185082,0.192548,0.182758,0.184719,102043 ,9254100 
06-Apr-17,0.184767,0.190455,0.184234,0.18643,82505 ,9238350 
07-Apr-17,0.187871,0.192661,0.184796,0.188531,81618 ,9393550 
08-Apr-17,0.189456,0.193674,0.188398,0.190221,54654 ,9472800 
09-Apr-17,0.189679,0.191026,0.186312,0.188861,97362 ,9483950 
10-Apr-17,0.188842,0.220733,0.186149,0.207874,208420 ,9442100 
11-Apr-17,0.209023,0.211772,0.189697,0.197826,257457 ,10451200 
12-Apr-17,0.198357,0.200199,0.191723,0.195553,192252 ,9917850 
13-Apr-17,0.193966,0.196013,0.190089,0.191686,147722 ,9698300 
14-Apr-17,0.19154,0.19396,0.190495,0.192958,103138 ,9577000 
15-Apr-17,0.192991,0.194574,0.190452,0.192164,76566 ,9649550 
16-Apr-17,0.193672,0.19565,0.188923,0.192076,167886 ,9683600 
17-Apr-17,0.191583,0.192535,0.179468,0.191489,331308 ,9579150 
18-Apr-17,0.19191,0.192224,0.176355,0.180479,348694 ,9595500 
19-Apr-17,0.180622,0.190709,0.178089,0.189408,297302 ,9031100 
20-Apr-17,0.189534,0.191015,0.178645,0.184725,222525 ,9476700 
21-Apr-17,0.184685,0.185694,0.174442,0.178122,263127 ,9234250 
22-Apr-17,0.178943,0.188524,0.173304,0.183058,288119 ,8947150 
23-Apr-17,0.180684,0.185985,0.169937,0.17496,175678 ,9034200 
24-Apr-17,0.177077,0.177153,0.163354,0.173758,262706 ,8853850 
25-Apr-17,0.173606,0.184094,0.166802,0.183504,241805 ,8680300 
26-Apr-17,0.183475,0.188085,0.179909,0.184577,185400 ,9173750 
27-Apr-17,0.184394,0.20851,0.181833,0.202092,327972 ,9219700 
28-Apr-17,0.202194,0.229271,0.20142,0.229255,473689 ,10109700 
29-Apr-17,0.229612,0.29057,0.221128,0.271729,960013 ,11480600 
30-Apr-17,0.271731,0.362409,0.268994,0.360099,1631520 ,13586500 
01-May-17,0.361689,0.361689,0.269563,0.318838,1142050 ,18084400 
02-May-17,0.319147,0.326074,0.280153,0.314833,588824 ,15957400 
03-May-17,0.314746,0.348589,0.309078,0.343782,758237 ,15737300 
04-May-17,0.345096,0.500403,0.334537,0.500309,2317450 ,17254800 
05-May-17,0.493833,0.576426,0.470129,0.576426,2660100 ,24691600 
06-May-17,0.572854,0.59035,0.537649,0.58767,1341720 ,28642700 
07-May-17,0.585263,0.591143,0.516306,0.535792,1249060 ,29263200 
08-May-17,0.5303,0.542761,0.486931,0.496572,1025750 ,26515000 
09-May-17,0.496131,0.501255,0.407576,0.44937,1076450 ,24806600 
10-May-17,0.44926,0.541055,0.44926,0.503894,843243 ,22463000 
11-May-17,0.504314,0.520573,0.431391,0.481077,953152 ,25215700 
12-May-17,0.480874,0.508175,0.469682,0.487684,548028 ,24043700 
13-May-17,0.487873,0.491284,0.451528,0.484544,616908 ,24393600 
14-May-17,0.483372,0.490861,0.473253,0.477543,501693 ,24168600 
15-May-17,0.477364,0.4933,0.45415,0.470057,897219 ,23868200 
16-May-17,0.474567,0.474567,0.452551,0.463667,637204 ,23728400 
17-May-17,0.464285,0.531643,0.454101,0.531643,1328670 ,23214200 
18-May-17,0.533423,0.552265,0.514519,0.539481,1201540 ,26671200 
19-May-17,0.539752,0.682251,0.539752,0.63186,1884600 ,26987600 
20-May-17,0.638148,0.671513,0.612225,0.665485,1476170 ,31907400 
21-May-17,0.665434,0.744667,0.618864,0.664141,2621930 ,33271700 
22-May-17,0.682007,0.742591,0.669175,0.720486,2331300 ,34100400 
23-May-17,0.721726,0.901805,0.695115,0.877157,3858760 ,36086300 
24-May-17,0.878954,1.9,0.863444,1.76,22900400 ,43947700 
25-May-17,1.74,1.74,1.01,1.11,12458000 ,87149500 
26-May-17,1.11,1.22,0.69411,0.826549,6847940 ,55293000 
27-May-17,0.806824,1.03,0.598245,0.982348,7025920 ,40341200 
28-May-17,0.989557,1.07,0.814832,0.930106,5133830 ,49477900 
29-May-17,0.921727,0.974728,0.873447,0.966765,2171000 ,46086400 
30-May-17,0.975403,1.13,0.970573,1.02,5393720 ,48770200 
31-May-17,1.02,1.08,0.966531,1.03,3001020 ,51167000 
01-Jun-17,1.03,1.3,1.01,1.24,8061920 ,51383000 
02-Jun-17,1.25,1.4,1.18,1.35,7157890 ,62290500 
03-Jun-17,1.36,1.36,1.15,1.26,4049740 ,68122000 
04-Jun-17,1.25,1.32,1.22,1.26,2572220 ,62425500 
05-Jun-17,1.27,1.35,1.25,1.28,3876920 ,63267500 
06-Jun-17,1.28,1.37,1.2,1.34,5234170 ,63757000 
07-Jun-17,1.34,1.36,1.27,1.28,2994510 ,66929500 
08-Jun-17,1.27,1.36,1.19,1.36,7118290 ,63677000 
09-Jun-17,1.36,1.59,1.33,1.55,9728020 ,67874000 
10-Jun-17,1.54,2.07,1.53,1.68,17295300 ,77129000 
11-Jun-17,1.69,1.73,1.52,1.67,6479410 ,84426000 
12-Jun-17,1.67,1.69,1.4,1.51,7492490 ,83716000 
13-Jun-17,1.5,1.86,1.5,1.81,10456500 ,75221500 
14-Jun-17,1.81,1.94,1.68,1.74,10497200 ,90657000 
15-Jun-17,1.74,1.84,1.54,1.78,9550940 ,86947000 
16-Jun-17,1.8,2.81,1.72,2.77,45782200 ,90202000 
17-Jun-17,2.8,4.18,2.7,3.76,82601000 ,139894000 
18-Jun-17,3.79,5.26,3.47,5.26,61381000 ,189717000 
19-Jun-17,5.46,11.81,5.46,11.72,281341000 ,273011000 
20-Jun-17,11.79,11.79,7.87,8,126661000 ,589390000 
21-Jun-17,8.04,10.21,7.81,10.15,88374400 ,401956000 
22-Jun-17,10.16,10.51,6.9,6.94,115249000 ,507921000 
23-Jun-17,6.92,7.43,5.78,6.84,67033300 ,346025000 
24-Jun-17,6.87,7.11,6.25,6.3,33359500 ,343738000 
25-Jun-17,6.29,6.46,5.66,5.95,24890900 ,314543000 
26-Jun-17,5.95,6.22,4.42,5.53,27615900 ,297587000 
27-Jun-17,5.35,7.26,5.09,6.83,71029700 ,267538000 
28-Jun-17,6.96,8.69,6.49,8.38,72982300 ,347826000 
29-Jun-17,8.34,10.07,7.91,9.77,77050000 ,416970000 
30-Jun-17,9.72,10,8.6,8.73,43355500 ,485988000 
01-Jul-17,8.77,9.24,7.74,7.95,33128400 ,438293000 
02-Jul-17,7.96,8.51,6.75,8.1,47478700 ,397988000 
03-Jul-17,8.06,8.48,7.52,8.22,28820400 ,402786000 
04-Jul-17,8.22,8.49,7.77,7.78,15781600 ,410831000 
05-Jul-17,7.77,8.66,7.23,8.03,29368100 ,388453000 
06-Jul-17,7.98,8.34,7.69,7.84,17932500 ,399093000 
07-Jul-17,7.83,7.89,6.74,6.77,16409500 ,391569000 
08-Jul-17,6.79,7.63,5.91,7.45,24138500 ,339382000 
09-Jul-17,7.4,7.62,6.87,6.9,10422500 ,370072000 
10-Jul-17,6.91,6.96,5.58,6.03,11395300 ,345719000 
11-Jul-17,5.93,6.11,4.83,5.4,20182900 ,296309000 
12-Jul-17,5.31,6.69,5.07,6.63,23337300 ,265564000 
13-Jul-17,6.68,6.95,5.91,6.29,17824000 ,334240000 
14-Jul-17,6.27,6.29,5.42,5.54,12351000 ,313433000 
15-Jul-17,5.55,5.55,4.98,5.03,11294200 ,277400000 
16-Jul-17,5.03,5.27,4.83,5.04,9498420 ,251399000 
17-Jul-17,5.06,5.85,5.03,5.77,15013000 ,253054000 
18-Jul-17,5.77,6.29,5.51,6.02,18101700 ,288470000 
19-Jul-17,6.04,6.23,5.65,5.88,14255500 ,301935000 
20-Jul-17,5.89,7.47,5.89,7.21,25476100 ,294317000 
21-Jul-17,7.24,7.97,7.03,7.42,21298000 ,361826000 
22-Jul-17,7.39,9.12,7.31,8.62,32890800 ,369727000 
23-Jul-17,8.64,8.93,7.76,8.57,29915100 ,431881000 
24-Jul-17,8.61,8.81,8.19,8.46,21283700 ,430471000 
25-Jul-17,8.48,8.48,6.88,7.35,19480400 ,423876000 
26-Jul-17,7.33,7.59,6.58,7.17,16765600 ,366562000 
27-Jul-17,7.22,7.94,7.13,7.72,15251100 ,360772000 
28-Jul-17,7.75,7.88,6.93,7.09,15725800 ,387410000 
29-Jul-17,7.09,7.46,6.76,7.26,10518400 ,354258000 
30-Jul-17,7.27,7.3,6.94,7.15,9006030 ,363345000 
31-Jul-17,7.16,7.43,7.02,7.33,10856600 ,358222000 
01-Aug-17,7.36,8.2,6.96,7.86,18527900 ,368123000 
02-Aug-17,7.85,8.3,7.71,8.11,17559000 ,392732000 
03-Aug-17,8.19,10.7,8.06,10.67,49848800 ,409434000 
04-Aug-17,10.84,11.22,9.97,10.43,56285500 ,541832000 
05-Aug-17,10.39,14.95,10.24,14.02,82680400 ,519506000 
06-Aug-17,14.17,16.19,13.42,15.21,81450800 ,708471000 
07-Aug-17,15.2,20.24,14.36,18.68,166514000 ,759959000 
08-Aug-17,18.73,19.34,15.59,18.27,124589000 ,936705000 
09-Aug-17,18.34,21.94,17.46,21.75,116795000 ,917009000 
10-Aug-17,21.68,38.44,21.36,36.18,360125000 ,1084180000 
11-Aug-17,36.32,39.13,27.58,33.5,382070000 ,1815780000 
12-Aug-17,33.16,37.37,30.45,36.61,177772000 ,1657810000 
13-Aug-17,36.86,52.63,35.32,46.65,448654000 ,1843040000 
14-Aug-17,47.63,52.02,44.79,47.43,343705000 ,2381360000 
15-Aug-17,47.5,47.99,39.52,47.49,262801000 ,2375010000 
16-Aug-17,46.98,51.25,44.69,45.54,170273000 ,2349050000 
17-Aug-17,45.72,46.34,38.91,40.69,191410000 ,2286130000 
18-Aug-17,40.85,41.16,31.32,38.85,209845000 ,2042450000 
19-Aug-17,38.86,42.22,35.4,39.97,168358000 ,1943180000 
20-Aug-17,39.63,40.65,38.16,38.19,85862200 ,1981640000 
21-Aug-17,38.04,38.28,34.15,35.3,85955000 ,1902060000 
22-Aug-17,35.16,36.17,31.6,35.85,68265300 ,1758180000 
23-Aug-17,35.83,44.03,35.25,40,131763000 ,1791670000 
24-Aug-17,39.92,42.13,39.31,42.05,63875500 ,1996230000 
25-Aug-17,41.96,42.26,39.78,40.3,47772200 ,2098230000 
26-Aug-17,40.31,40.52,37.7,38.59,41017800 ,2015360000 
27-Aug-17,38.58,41.23,37.42,40.09,50649600 ,1928770000 
28-Aug-17,40.23,40.31,37.38,38.45,41401000 ,2011600000 
29-Aug-17,38.46,38.46,30.69,33.66,168534000 ,1922840000 
30-Aug-17,33.48,35.84,29.71,33.1,97289600 ,1673910000 
31-Aug-17,32.93,35.09,32.6,33.16,49957300 ,1646720000 
01-Sep-17,33.17,33.57,28.87,32.01,75418900 ,1658680000 
02-Sep-17,31.69,34.81,28.55,31.72,92722600 ,1584390000 
03-Sep-17,31.77,32.65,28.58,30.32,43232300 ,1588690000 
04-Sep-17,30.44,30.44,17.4,21.83,189917000 ,1522090000 
05-Sep-17,21.88,23.85,18.93,22.8,91402300 ,1093860000 
06-Sep-17,22.97,24.32,20.3,21.36,77746300 ,1148320000 
07-Sep-17,21.3,33.55,20.54,30.78,214001000 ,1065110000 
08-Sep-17,30.59,30.59,22.41,24.86,112252000 ,1529630000 
09-Sep-17,24.63,24.63,21.55,21.96,47199500 ,1231580000 
10-Sep-17,21.76,23.64,19.37,22.75,54002500 ,1088180000 
11-Sep-17,22.68,23.97,21.71,21.88,27835300 ,1133790000 
12-Sep-17,21.87,23.6,19.86,20.97,40702300 ,1093590000 
13-Sep-17,20.83,21.29,17.8,20.06,37258400 ,1041450000 
14-Sep-17,20.08,20.75,14.95,15.69,42221500 ,1004180000 
15-Sep-17,15.81,19.12,13.32,18.74,50811700 ,790612000 
16-Sep-17,18.75,22.98,18.5,20.76,50210000 ,937288000 
17-Sep-17,20.64,20.64,18.36,19.86,18695100 ,1031920000 
18-Sep-17,19.91,21.38,19.54,21.22,27647600 ,995579000 
19-Sep-17,20.99,21.71,19.04,19.94,30451900 ,1049420000 
20-Sep-17,19.9,20.47,19.69,19.75,14058200 ,995012000 
21-Sep-17,19.65,19.82,16.75,17.45,21587400 ,982515000 
22-Sep-17,17.39,19.32,16.98,18.69,22480200 ,869657000 
23-Sep-17,18.58,20.59,18.3,20.18,17216800 ,929086000 
24-Sep-17,20.17,20.43,19.28,19.79,11967200 ,1008660000 
25-Sep-17,19.8,27.08,19.8,26.02,81225500 ,989892000 
26-Sep-17,26.12,27.3,24.46,26.38,65868600 ,1305990000 
27-Sep-17,26.32,34.03,26.32,31.79,163163000 ,1316040000 
28-Sep-17,31.78,32.69,27.68,29.76,101195000 ,1589170000 
29-Sep-17,30.25,30.41,26.13,28.64,72558300 ,1512530000 
30-Sep-17,28.59,34.24,28.45,34.21,82181600 ,1429500000 
01-Oct-17,34.12,35.83,31.82,35.72,72169500 ,1705880000 
02-Oct-17,35.7,39.01,34.9,36.74,116098000 ,1785160000 
03-Oct-17,36.65,36.79,32.01,33.61,74199600 ,1832530000 
04-Oct-17,33.79,35.03,30.09,31.16,60565900 ,1689390000 
05-Oct-17,31.21,33.31,28.98,32.28,66785000 ,1560680000 
06-Oct-17,32.5,34.32,32.23,33.52,47267100 ,1625060000 
07-Oct-17,33.54,36.15,33.3,36.14,48058800 ,1677000000 
08-Oct-17,35.64,37.23,31.01,32.07,107725000 ,1781810000 
09-Oct-17,32.04,32.79,26.78,29.1,98290300 ,1601800000 
10-Oct-17,29.15,31.2,28.07,29.31,48223600 ,1457270000 
11-Oct-17,29.3,31.23,29.3,29.96,33627700 ,1464940000 
12-Oct-17,30.01,30.36,27.61,28.18,61080400 ,1500520000 
13-Oct-17,27.85,29.87,26.45,29.35,81365000 ,1392660000 
14-Oct-17,29.32,29.45,27.65,27.8,33551100 ,1465980000 
15-Oct-17,27.65,28.47,26.91,27.73,31189200 ,1382450000 
16-Oct-17,27.76,29.07,26.96,28.53,34713200 ,1388080000 
17-Oct-17,28.5,32.55,27.81,31.4,74210000 ,1425090000 
18-Oct-17,31.66,31.78,28.44,29.67,49659700 ,1583190000 
19-Oct-17,29.66,29.96,28.48,28.66,30401400 ,1482970000 
20-Oct-17,28.68,29.5,27.73,27.75,36933700 ,1433880000 
21-Oct-17,27.76,28.28,26.04,27.13,34058900 ,1387840000 
22-Oct-17,27.15,29.48,27.1,28.79,36184100 ,1357500000 
23-Oct-17,28.49,28.65,26.43,27.51,28154800 ,1424610000 
24-Oct-17,27.34,32.72,26.73,30.15,78225600 ,1367240000 
25-Oct-17,30.11,30.11,28.54,28.54,35558400 ,1505590000 
26-Oct-17,28.48,29.39,28.06,28.33,35987900 ,1423950000 
27-Oct-17,28.33,28.88,28.1,28.76,28919000 ,1416350000 
28-Oct-17,28.86,28.99,27.17,27.35,25368200 ,1443000000 
